,id,location,morphology,x,y,sph,disk,irr,ps
118,119,"[900, 542]","[0.08131461763500998, 0.0008627918785125534, 0.0, 0.9178225904864775]",900,542,0.08131461763500998,0.0008627918785125534,0.0,0.9178225904864775
119,120,"[923, 581]","[0.03963155858045581, 0.912956124527982, 0.0418583169237012, 0.005553999967860935]",923,581,0.03963155858045581,0.912956124527982,0.0418583169237012,0.005553999967860935
120,121,"[932, 735]","[0.0, 0.5722870358875245, 0.4179877191750999, 0.009725244937375529]",932,735,0.0,0.5722870358875245,0.4179877191750999,0.009725244937375529
121,122,"[933, 231]","[0.00022533192868489543, 0.00046225869091616695, 0.9352467944866923, 0.06406561489370659]",933,231,0.00022533192868489543,0.00046225869091616695,0.9352467944866923,0.06406561489370659
122,123,"[937, 143]","[0.05906159858867724, 0.0002711328208734928, 0.0, 0.9406672685904492]",937,143,0.05906159858867724,0.0002711328208734928,0.0,0.9406672685904492
123,124,"[966, 431]","[0.1423155088929587, 0.8205433494807373, 0.03712703118029381, 1.4110446010276465e-05]",966,431,0.1423155088929587,0.8205433494807373,0.03712703118029381,1.4110446010276465e-05
124,125,"[962, 619]","[0.18283861007994626, 7.678651334689819e-05, 0.0, 0.8170846034067069]",962,619,0.18283861007994626,7.678651334689819e-05,0.0,0.8170846034067069
125,126,"[975, 771]","[0.048987106562267055, 0.14662409971936582, 0.14619386025619294, 0.6581949334621742]",975,771,0.048987106562267055,0.14662409971936582,0.14619386025619294,0.6581949334621742
126,127,"[993, 374]","[0.005422985086923929, 0.6339435350729962, 0.2785041879982681, 0.08212929184181182]",993,374,0.005422985086923929,0.6339435350729962,0.2785041879982681,0.08212929184181182
127,128,"[985, 807]","[0.0, 0.9796128060930025, 0.019802158748302472, 0.0005850351586949884]",985,807,0.0,0.9796128060930025,0.019802158748302472,0.0005850351586949884
128,129,"[987, 516]","[0.9681018319504161, 0.011413958470257916, 0.008340054273409857, 0.012144155305916105]",987,516,0.9681018319504161,0.011413958470257916,0.008340054273409857,0.012144155305916105
129,130,"[989, 938]","[0.8690627883659182, 0.010861305328780602, 0.003296246612656349, 0.11677965969264482]",989,938,0.8690627883659182,0.010861305328780602,0.003296246612656349,0.11677965969264482
130,131,"[990, 166]","[0.0, 0.0, 0.0, 1.0]",990,166,0.0,0.0,0.0,1.0
131,132,"[988, 455]","[0.10981753018717659, 0.0003503835708354119, 0.0, 0.889832086241988]",988,455,0.10981753018717659,0.0003503835708354119,0.0,0.889832086241988
132,133,"[988, 275]","[0.0, 0.0, 0.0, 1.0]",988,275,0.0,0.0,0.0,1.0
133,134,"[990, 67]","[0.0, 0.0, 0.0, 1.0]",990,67,0.0,0.0,0.0,1.0
134,135,"[994, 832]","[0.0, 0.05178816481462165, 0.3935533150015276, 0.5546585201838506]",994,832,0.0,0.05178816481462165,0.3935533150015276,0.5546585201838506
